acta,producto,muestra,clasificacion,articulos,rotulado_frontal,marca,fecha_de_analisis,habilitacion_de_producto,vencimiento,lote,contenido_neto
127964,ACEITE DE COCO NEUTRO ORGANICO,774255,Fuera de las condiciones reglamentarias,Resolución S/N/024 Reglamento Normativo de Productos (RUNAEV) Art. 1. Producto no registrado,En condiciones,TERRA VERDE,2024-10-10,No posee registro,2026-04-30,RBD 042024,500 mL
127964,ACEITE DE SESAMO,774257,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CHAINLY,2024-10-10,14207/2,2025-04-10,10/04/2025,230 mL
127964,ACEITE DE COCO,774256,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PRANA,2024-10-10,18029/21,2026-07-31,1039/07/024,500 mL
127962,BEBIDA LACTEA CHOCOLATADA ULTRAPASTEURIZADA,774247,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PARMALAT,2024-10-09,25285/845,2024-11-18,C/1 17.1.2.18:10:56,1 L
127963,COPOS DE MAIZ CON AZUCAR Y MIEL,774248,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,RIO DE LA PLATA,2024-10-09,5529/1822,2025-07-26,208. M.11,500 g
127960,Leche con jugo de frutilla semidescremada U.A.T.. adicionada de vitamina D. Vitamina E. Vitamina A. hierro. zinc y ácido fólico. Libre de gluten,774238,Fuera de las condiciones reglamentarias,Resolución S/N/024 Reglamento Normativo de Empresas. Locales Y Vehículos - Registro Único Nacional de Alimentos. Empresas y Vehículos. artículo 1 y artículo 9. El producto presenta su registro vencido desde 21/02/2022.,En condiciones,CONAPROLE,2024-10-08,1395/1021,2025-03-19,250318 U1 12:04,250 ml
127959,ALIMENTO EN POLVO CON CACAO,774240,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LEADER PRICE,2024-10-08,4463/1579,,42340,200g
127957,Extrudado a base de harina de maíz con sabor a frutas libre de gluten,774245,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PATAGONIA GRAINS,2024-10-08,6405/1376,2025-06-03,030625 09:18,100 g
127956,Cacao en polvo,774237,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,RIO DE LA PLATA,2024-10-08,5529/1811,2026-08-02,254,200g
127957,ALIMENTO A BASE DE HARINAS DE MAÍZ Y TRIGO CON AZÚCAR SABOR A FRUTAS,774246,Fuera de las condiciones reglamentarias,Decreto 117/006 Resolución GMC 26/03 Art. 6.2.3. Se detecta colorantes no declarados en la lista de ingredientes.,En condiciones,SAINT,2024-10-08,1157/136,2026-04-15,ven. 15.04.26,120 g
127958,COCOA,774236,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,ZAPICAN,2024-10-08,1791/7,2024-08-07,5690,500g
127959,Chocolate en polvo libre de gluten,774241,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NESTLE,2024-10-08,49/519,2027-07-31,41928774 14:19,500g
127957,Cereales dietéticos adicionados con Vitaminas B2. Niacina. B6. Ácido Fólico. Ácido Pantoténico y Minerales Calcio. Hierro y Zinc,774244,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NESQUIK,2024-10-08,49/1431,2025-03-10,L416230552 F,90 g
127957,Cereales dietéticos adicionados con Vitaminas B2. Niacina. B6. Ácido Fólico. Ácido Pantoténico y Minerales Calcio. Hierro y Zinc,774242,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NESQUIK,2024-10-08,49/1379,2025-05-08,41601212E,400 g
127957,Alimento a base de cereal de maíz y harina de trigo,774243,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,QUAKER,2024-10-08,3086/1315,2025-01-13,E L ENE 24 C,200 g
127960,Leche UAT semidescremada chocolatada 2.8% grasas totales. Libre de gluten,774239,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-10-08,1395/1001,2025-03-20,250323 U1 10:42,250 ml
127955,LECHE CHOCOLATADA LIBRE DE GLUTEN,774235,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,TALAR,2024-10-07,24046/67,2025-01-12,241510,1 L
127955,BEBIDA LÁCTEA CHOCOLATADA SEMIDESCREMA UAT. LIBRE DE GLUTEN,774234,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,TIENDA INGLESA,2024-10-07,3106/697,2025-02-20,L233  01556 15:27,1 L
127954,Bebida láctea chocolatada,774233,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-10-07,1395/1177,2024-10-13,I T1 07:07 L241013D36,1 L
127953,ACEITE DE COCO,774226,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA ABUNDANCIA,2024-10-04,394/937,2025-02-28,4247,600 mL
127899,Dulce de leche,774231,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,GRANJA NARBONA,2024-10-04,26118/11,2025-03-15,260122,970 g
127899,DULCE DE LECHE,774228,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PRECIO LÍDER,2024-10-04,4463/2182,2024-11-05,L4 10:24,1 Kg
127899,Dulce de leche - Libre de gluten,774230,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,JUANA LA LOCA,2024-10-04,22654/233,2025-08-19,190804,440 g
127899,DULCE DE LECHE CON CREMA,774227,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PEQUEÑA GRANJA,2024-10-04,8345/1759,2025-01-12,12ENERO2025,500 g
127951,DULCE DE LECHE,774232,Fuera de las condiciones reglamentarias,Decreto 466/009 artículo 4.2.2. El contenido de materia grasa determinado analiticamente y la declarada en la información nutricional estan por debajo del mínimo establecido.,En condiciones,DE LA CAMPIÑA,2024-10-04,23110/27,2025-01-16,LT948,900 g
127899,Dulce de leche - Libre de gluten,774229,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PUERTO DEL SAUCE,2024-10-04,22654/81,2024-12-12,LT:190903,900 g
127700,ACEITE VIRGEN DE CANOLA,774215,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,VIRGINIA SALVO,2024-10-03,23093/1,2025-01-31,221,500 mL
127898,HOJUELAS DE MAIZ TOSTADAS ADICIONADAS CON NIACINA. VITAMINA E. VITAMINA B5. VITAMINA B6. VITAMINA B2. VITAMINA B1. ACIDO FÓLICO. VITAMINA B12 Y HIERRO,774223,Fuera de las condiciones reglamentarias,Decreto 117/006 Resolución GMC 26/03 Art. 4 y 5. No presenta información obligatoria completa en idioma español.,En condiciones,VITALISIMO,2024-10-03,11913/1697,2025-04-21,11183838,250 g
127700,Aceite de coco,774216,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,TERRA VERDE,2024-10-03,26508/12,2026-04-30,BFD 042024,475 mL
127898,EXTRUDADO (ALMOHADITAS) A BASE DE SÉMOLA DE TRIGO. AZÚCAR. HARINA DE ARROZ Y HARINA DE AVENA CON RELLENO SAB A CHOCOLATE. ALIMENTO ADICIONADO CON VIT (A. B12. C. D. E. ÁCIDO FÓLICO) Y MIN (Fe. Ca. Zn),774224,Fuera de las condiciones reglamentarias,Decreto 117/006 Resolución GMC 26/03 Art. 6.4.1. No presenta datos del importador ni número de registro del producto.,En condiciones,KELLOGG´S,2024-10-03,13262/534,2024-12-20,D355 IC 1 3 08:24,350 g
127898,MEZCLA CRUJIENTE DE CEREALES CON TROZOS DE CHOCOLATE NEGRO  Y AVELLANAS,774220,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,BRÜGGEN,2024-10-03,11913/2087,2025-10-14,173.18:06,450g
127898,EXTRUDADO (ANILLOS) A BASE DE HARINAS DE MAÍZ. TRIGO Y AVENA. SABOR A FRUTAS. ADICIONADO CON VITAMINAS (D. B1. B6. B12. ÁCIDO FÓLICO) Y MINERALES (HIERRO. ZINC).,774225,Fuera de las condiciones reglamentarias,Decretos 272/018 y 34/021. De acuerdo a lo declarado em la información nutricional debe presentar rotulado frontal por exceso de azúcar.,Fuera de condiciones,KELLOGG´S,2024-10-03,13262/554,2025-05-30,E 151 2 23 07,230 g
127700,ACEITE COMESTIBLE PURO DE AJONJOLI,774219,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LEE KUM KEE,2024-10-03,9283/1601,2025-09-25,BCR9Q 1200,207 mL
127898,CEREAL DE SALVADO DE TRIGO. ALIMENTO ADICIONADO CON VITAMINAS (D. B1. B6. B12. ÁCIDO FÓLICO) Y HIERRO,774222,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,KELLOGG´S,2024-10-03,13262/529,2025-03-20,L3 06:58,400 g
127700,ACEITE DE COCO ORGANICO,774218,Fuera de las condiciones reglamentarias,Resolución S/N/024 Reglamento Normativo de Productos (RUNAEV) Art. 1. El producto no está registrado.,En condiciones,CAMPO CLARO,2024-10-03,No posee registro,2026-04-25,01/24/ AL A,200 mL
127898,COPOS DE MAÍZ. ALIMENTO ADICIONADO CON VITAMINAS (D. B1. B6. B12. ÁCIDO FÓLICO) Y MINERALES (HIERRO),774221,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,KELLOGG´S,2024-10-03,13262/551,2025-06-05,05 06 25,180g
127700,MEZCLA DE ACEITES DE SOJA (80%) Y SÉSAMO (20%),774217,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,HEINZ,2024-10-03,11913/1492,2024-10-19,E23219,150 mL
127896,Cocoa libre de gluten,774206,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NESTLE,2024-10-01,49/3,2027-08-31,41598774 19:49,500g
127896,COCOA,774204,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CAFÉ BAHÍA,2024-10-01,3820/1,2026-05-31,no legible,500g
127896,Alimento en polvo para preparar bebidas adicionado de Vitaminas A. D. C. B2. Niacina. B6. B12 y Minerales Calcio y Hierro,774207,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NESTLE,2024-10-01,49/1516,2024-12-01,4066121033 13:42,175g
127896,Alimento en polvo con cacao,774208,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,TA-TA,2024-10-01,18138/7,2026-06-28,0624,100g
127897,COCOA VAINILLADA,774203,Fuera de las condiciones reglamentarias,Resolución S/N/024. reglamento Normativo de Productos (RUNAEV). Art. 9. La habilitación del producto venció el 23/09/2018.,En condiciones,TORRENUEVA,2024-10-01,1082/58,2026-12-24,APL5,500g
127896,COCOA VAINILLADA INSTANTANEA,774205,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,MOROCHA,2024-10-01,556/19,2026-07-05,2407037,500g
127895,Leche UAT seleccionada chocolatada parcialmente descremada homogeneizada adicionada con vitaminas A. B3. D y ácido fólico libre de gluten.,774201,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CINDOR,2024-09-30,19271/148,2025-01-13,HR 08:19,200 ml
127895,BEBIDA LACTEA CHOCOLATADA ULTRAPASTEURIZADA,774202,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,EL DORADO,2024-09-30,25285/843,2024-11-22,C/2. 16,1 L
127895,Leche U.A.T semidescremada chocolatada 2.8 % grasas totales,774198,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-09-30,1395/89,2025-02-22,250222 U1 12:59,250 ml
127895,LECHE ENTERA UHT CON DULCE DE LECHE -COLET-,774200,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-09-30,1395/831,2025-03-16,250316 U1 18:38,250 ml
127895,Bebida láctea Esterilizada Sabor Chocolate,774199,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PARMALAT,2024-09-30,25285/225,2024-12-18,24007,200 ml
127895,LECHE UAT DESCREMADA CHOCOLATADA REDUCIDA EN CALORIAS. LIBRE DE GLUTEN.,774197,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-09-30,1395/97,2025-02-06,250206 U1 14:05,250 ml
127894,Queso de alta humedad. doble crema. Libre de gluten,774190,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA SERENISIMA,2024-09-27,19271/753,2024-10-30,30.OCT.24 HR19:49 3(a),Venta al peso.
127894,Cuña de Queso Colonia,774187,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,EL PIAMONTES,2024-09-27,30594/13,2024-11-14,1,Venta al peso.
127931,ACEITE DE OLIVA VIRGEN EXTRA,774193,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,EL NARANJO,2024-09-27,1776/43,2026-09-30,L0405,500 mL
127894,Queso Port Salut dietético reducido en sus contenidos graso y calórico. y adicionado con vitaminas A y D. Libre de gluten,774189,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA SERENISIMA,2024-09-27,19271/760,2024-10-18,18.OCT.24 HR02:09 4,Venta al peso
127931,ACEITE DE OLIVA VIRGEN EXTRA,774192,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA ESPAÑOLA,2024-09-27,11913/1112,2027-01-25,No presenta,500 mL
127931,ACEITE DE OLIVA EXTRA VIRGEN,774196,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,MAZZA,2024-09-27,7664/130,2025-09-17,06A03078L1,1L
127931,Aceite de oliva extra virgen orgánico,774191,Fuera de las condiciones reglamentarias,Decreto 117/006 Resolución GMC 26/03 Art. 6.4.1. El número de registro que figura en el rótulo no es el correspondiente al producto. Decreto 80/019 Art. 17.3.14. El índice de peróxido es superior al límite establecido en la Norma COI/T.15/NC Nº3/Rev.18,En condiciones,CAMPO CLARO,2024-09-27,8345/1421,2025-04-30,010423,250 mL
127931,ADEREZO A BASE DE ACEITE DE OLIVA VIRGEN EXTRA SABOR LIMON,774194,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,DE LA SIERRA,2024-09-27,23559/9,2026-06-30,L0344,250mL
127894,QUESO TIPO PARMESANO,774188,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,EL PIAMONTÉS,2024-09-27,30594/12,2025-03-02,1,Venta al peso.
127931,Aceite de oliva extra virgen,774195,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,DE LA SIERRA,2024-09-27,23559/2,2026-03-31,L0278,500 mL
127892,Salsa de tomates sin gluten,774180,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,DON TOME,2024-09-24,38/239,2026-02-22,235,1 Kg
127892,Salsa de tomate Sin azúcares agregados. baja en calorías. Libre de gluten.,774183,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PREDILECTA,2024-09-24,12266/160,2025-09-30,029,"1,7 Kg"
127892,Pulpa de tomate tamizada - Libre de gluten,774179,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,RIGBY,2024-09-24,38/152,2026-03-06,250,1 Kg
127892,SALSA TIPO PIZZERA SIN AZÚARES AGREGADOS,774181,Fuera de las condiciones reglamentarias,Decreto 117/006 Resolución GMC 26/03 Art. 4. La fecha de vencimiento no está en idioma español.,En condiciones,PREDILECTA,2024-09-24,12266/373,2024-12-31,256,300 g
127892,PULPA DE TOMATE CONCENTRADA LIBRE DE GLUTEN,774178,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,RIGBY,2024-09-24,38/150,2026-02-22,235,1 Kg
127892,PULPA DE TOMATE CONCENTRADA,774182,Fuera de las condiciones reglamentarias,Decreto 117/006 Resolución GMC 26/03 Art. 4. La fecha de vencimiento no está en idioma español.,En condiciones,PREDILECTA,2024-09-24,12266/124,2026-01-31,057,300 g
127887,SALCHICHA TIPO FRANKFURTERS LIGHT 0 % GRASAS TRANS. 85 % MENOS GRASA Y 55 % MENOS CALORIAS,774176,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CATTIVELLI,2024-09-23,2077/61,2024-10-28,28.10.24,350 g
127887,Salchichas tipo Frankfurter. Libre de Gluten.,774177,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,SARUBBI,2024-09-23,2022/306,2024-09-30,21609,315 g
127886,QUESO FETEADO MUZZARELLA BAJO EN SODIO,774172,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,FARMING COLONIA SUIZA,2024-09-20,17977/104,2025-01-02,4215.1105  10:53:16,200 g
127886,Queso Fundido en Fetas,774174,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PRESIDENT,2024-09-20,25285/73,2025-03-29,29 03 2024,200 g
127886,QUESO FETEADO DE MEDIANA HUMEDAD SEMIGRASO SIN GLUTEN,774173,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,FARMING,2024-09-20,17977/475,,4234.5201,200 g
127886,QUESO PROCESADO UAT EN FETAS,774171,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,ALPA,2024-09-20,1395/381,2024-10-19,952143 07:40,200 g
127886,Queso procesado en fetas especial para tostadas,774175,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PRESIDENT,2024-09-20,25285/37,2025-02-16,16 02 2024,200 g
127886,Queso tipo Emmenthal,774170,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NATURALIA,2024-09-20,11319/108,2024-10-08,05.27.07,Venta al peso
127885,ACEITE DE OLIVA EXTRA VIRGEN,774169,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,FILIPPO BERIO,2024-09-19,9283/712,2025-03-31,LE222U,250 mL
127883,Aceite de oliva extra virgen libre de gluten,774165,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,COLINAS DE GARZÓN,2024-09-19,22444/19,2026-03-18,180324,250 mL
127882,ACEITE DE OLIVA,774167,Fuera de las condiciones reglamentarias,Digesto Departamental Volumen VI Título II Art. D974. Producto no registrado en el SRA,En condiciones,LA TRINIDAD,2024-09-19,No posee registro,2026-03-31,03/26,500 mL
127883,Aceite de Oliva Extravirgen Bivarietal Libre de Gluten,774164,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,COLINAS DE GARZÓN,2024-09-19,22444/1,2026-03-15,15/03/2024,250 mL
127883,Aceite de Oliva Extra Virgen Trivarietal Libre de Gluten,774163,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,COLINAS DE GARZÓN,2024-09-19,22444/5,2026-03-18,18/03/24,250 mL
127883,ACEITE DE OLIVA EXTRA VIRGEN,774166,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,ORO CANTÁBRICO,2024-09-19,34615/6009,2026-03-26,env 29/05/2024,3 L
127880,SALSA DE TOMATE CON ALBAHACA,774158,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,MUTTI,2024-09-18,9283/1327,2025-08-31,266 21:15 9,400g
127880,PULPA DE TOMATES CONCENTRADA,774157,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,TIENDA INGLESA,2024-09-18,3106/5227,25-11-16,170524,1.030 Kg
127880,SALSA DE TOMATE CON ALBAHACA LIBRE DE GLUTEN,774161,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,BARILLA,2024-09-18,9283/1533,2026-02-13,14 54 54 2144(IBS)13/02/2026,400g
127880,SALSA A BASE DE TOMATES. SIN GLUTEN,774160,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CIDACOS,2024-09-18,8529/237,2026-12-31,22 3704 19:4702,290g
127880,Tomate entero pelado al natural,774162,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,COPPOLA,2024-09-18,25226/21,2026-12-31,M230PE,400g
127880,SALSA AGRIDULCE A BASE DE CHILE,774159,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,MRS. DARLINGTON'S,2024-09-18,3106/15682,2025-09-30,Q611,330g
127920,SALCHICHAS TIPO FRANKFURTERS,774149,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA GUILLERMINA,2024-09-17,2726/47,2024-10-18,M 18.3  0903 -1 15:14,1.6 kg
127920,SALCHICHAS TIPO PILDORITAS,774151,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,SCHNECK,2024-09-17,2726/25,2024-10-12,M 16.1 0828-1 09:31,Venta al peso
127920,salchichas tipo frankfurters libre de gluten,774150,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,SARUBBI,2024-09-17,2022/229,2024-09-24,15608,1 Kg
127920,Salchicha Tipo Frankfurter,774152,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,DEVOTO,2024-09-17,2022/144,2024-09-22,13608,Venta al peso
127920,Salchichas tipo Frankfurter. Libre de Gluten.,774153,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,SARUBBI,2024-09-17,2022/298,2024-09-30,21608,320 g
127913,Salchichas tipo Frankfurter. Libre de Gluten.,774148,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,SARUBBI,2024-09-16,2022/286,2024-10-06,27608,720 g
127907,QUESO DANBO PROCESADO PASTEURIZADO,774142,Fuera de las condiciones reglamentarias,Decretos 272/018 y 34/021. Debe presentar rotulado frontal por exceso de sodio..Digesto Departamental Volumen VI Titulo II art. D974.2 Resolución N° 3461/24. El producto presenta su registro vencido desde 01/06/2021.,Fuera de condiciones,BANIL,2024-09-11,6891/38,2024-10-10,L016,VENTA AL PESO.
127907,Queso emmental,774144,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PRESIDENT,2024-09-11,25285/12,2024-09-21,21/09/2024 A085A-23:47 A1,220 g
127907,Queso tipo parmesano libre de gluten,774141,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,GRANJA NATURALIA,2024-09-11,11319/40,2025-02-19,09.29.16,270 g
127907,QUESO MAGRO SIN SAL AGREGADA AL VACIO,774140,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,MAIA,2024-09-11,17081/8,2025-01-08,1117,Venta al peso
127907,QUESO MAGRO CON SAL,774143,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,TALAR,2024-09-11,24046/25,,------,Venta al peso
127907,Queso tipo Parmesano,774145,Fuera de las condiciones reglamentarias,Decreto 117/006 Resolución GMC 26/03 Art. 6.5.1 y 6.6.1 porque el lote y fecha de vencimiento están en etiqueta auto-adhesiva..Digesto Departamental Volumen VI Titulo II art. D974.2 Resolución N° 3461/24. El producto presenta su registro vencido desde 02/09/2021.,En condiciones,GRANJA NARBONA,2024-09-11,26118/15,2025-11-08,138021,vENTA AL PESO
127875,ACEITE DE OLIVA VIRGEN EXTRA,774136,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,FRESH MARKET,2024-09-10,4463/2500,2026-08-31,LO377,250 mL
127877,Salchicha tipo Frankfurter SIN GLUTEN,774121,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CENTENARIO,2024-09-10,2729/473,2024-10-10,24239  H3,Venta al peso
127875,ACEITE DE OLIVA VIRGEN EXTRA,774138,Fuera de las condiciones reglamentarias,Decreto 80/019 Art. 17.3.14. Absorbancia ultravioleta (K268) superior al límite.,En condiciones,RAFAEL SALGADO,2024-09-10,1026/104,2025-10-31,L-2229OF42,250 mL
127877,Salchichas tipo frankfurter,774119,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CAMPOSUR,2024-09-10,22720/283,2024-09-15,16/08/24 11:53,350 g
127877,SALCHICHA TIPO FRANKFURTER LIBRE DE GLUTEN,774117,Fuera de las condiciones reglamentarias,Digesto Departamental Volumen VI Titulo II art. D974.2 Resolución N° 3461/24. El producto presenta su registro vencido desde el 25/05/2022.,En condiciones,SARUBBI,2024-09-10,2022/28,2024-10-02,23608,315 g
127876,Salsa de Tomate,774130,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,DON PERITA,2024-09-10,17779/153,2026-06-30,1106005,510g
127877,SALCHICHA TIPO FRANKFURTERS CON QUESO,774118,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CATTIVELLI,2024-09-10,2077/64,2024-10-04,04.10.24,350 g
127875,ACEITE DE OLIVA EXTRA VIRGEN-LIBRE DE GLUTEN,774134,Fuera de las condiciones reglamentarias,Decreto 117/006 Resolución GMC 26/03. Art. 4 y 5. No presenta información obligatoria en idioma español. Toda la rotulación está en portugués.,En condiciones,COCINERO,2024-09-10,8529/300,2026-04-09,LB0124,500 mL
127877,SALCHICHAS TIPO FRANKFURTERS,774122,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,SCHNECK,2024-09-10,2726/6,2024-10-10,M 17.2  0826-1 14:14,490 g
127876,PULPA DE TOMATE TAMIZADA SIN CONSERVANTES,774132,Fuera de las condiciones reglamentarias,Digesto Departamental Volumen VI Título II Art. D974. Producto no registrado en el SRA,En condiciones,YOLY,2024-09-10,No posee registro,2025-12-12,164,1Kg
127875,ACEITE DE OLIVA VIRGEN EXTRA,774139,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,OLIVARES DE SANTA LAURA,2024-09-10,30188/1,2026-05-01,010526,500 mL
127876,Puré de tomate Libre de gluten,774129,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NOEL,2024-09-10,1409/4894,2025-05-23,23/05/2025 SJ19:104,530g
127875,Aceite de oliva extra virgen,774135,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LOS RANCHOS,2024-09-10,8345/1739,2026-06-30,L240709,250 mL
127875,ACEITE DE OLIVA EXTRA VIRGEN,774137,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,YBARRA,2024-09-10,4463/1247,2026-04-30,L24102A2,1 L
127876,TOMATES TRITURADOS SIN PELAR,774128,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PEQUEÑA GRANJA,2024-09-10,8345/322,2027-06-11,110724,750g
127876,PULPA DE TOMATE TAMIZADA,774131,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PRECIO LÍDER,2024-09-10,4463/1779,2026-01-08,080724,1.020 Kg
